Speed_21km Nutrition Age_Scl Sex ShoeBrand
14.46 1.03 0.32 Male Nike
13.48 1.05 0.41 Male Nike
9.27 1.08 0.41 Female NewBalance
9.6 1.11 0.35 Male Nike
11.46 0.94 0.29 Male Nike
13.22 1.55 0.38 Male Nike
10.92 1.25 0.41 Male Nike
9.11 1.07 0.49 Male NewBalance
9.36 0.77 0.57 Male NewBalance
9.41 1.07 0.47 Female Nike
9.67 0.8 0.59 Male NewBalance
11.17 1.14 0.48 Male Nike
9.06 0.43 0.45 Female Nike
10.32 1.17 0.37 Female Nike
10.36 0.96 0.68 Male Nike
7.01 1.23 0.38 Female NewBalance
12.96 0.97 0.53 Female Nike
12.21 1.15 0.38 Male NewBalance
16.45 1.1 0.34 Male Nike
11.46 1.17 0.48 Female Nike
10.84 1.64 0.35 Female Nike
13.88 0.97 0.38 Male NewBalance
11.63 0.92 0.33 Male NewBalance
10.12 0.63 0.44 Female NewBalance
13.52 1.47 0.34 Male Nike
11.75 1.26 0.32 Male Nike
12.86 0.8 0.44 Female Nike
10.07 1.32 0.27 Male Nike
12.5 1.29 0.32 Male Nike
7.69 0.38 0.49 Female Nike
12.73 0.92 0.43 Male Nike
8.23 0.56 0.44 Female Nike
10.58 1.28 0.4 Female Nike
9.79 1.02 0.48 Male Nike
7.42 0.67 0.45 Male Nike
9.98 0.87 0.44 Male Nike
8.41 1.02 0.42 Female Nike
10.08 0.87 0.43 Male Nike
15.66 1.69 0.36 Female Nike
16.82 1.32 0.36 Male Nike
16.36 1.43 0.24 Female NewBalance
17.04 0.75 0.44 Female Nike
8.4 2.13 0.35 Male NewBalance
10.3 1.1 0.46 Female Nike
14.2 1.57 0.32 Female NewBalance
17.45 1.12 0.29 Male Nike
11.97 1.16 0.51 Male Nike
11.03 1.1 0.39 Male NewBalance
14.76 1.01 0.47 Male NewBalance
12.29 0.77 0.42 Male Nike
14.08 0.85 0.29 Male Nike
11.07 1.36 0.22 Male Nike
10.06 1.6 0.34 Female Nike
10.37 1.16 0.29 Male Nike
14.15 0.92 0.41 Male NewBalance
11.7 1.23 0.35 Female NewBalance
11.19 1.33 0.47 Male Nike
9.21 0.93 0.42 Male Nike
11.67 0.96 0.4 Female Nike
12.52 1.22 0.52 Male Nike
10.43 1.01 0.52 Female NewBalance
11.63 1.21 0.41 Male NewBalance
14.26 0.63 0.51 Male NewBalance
13.68 1.41 0.34 Male NewBalance
11.47 0.89 0.38 Female NewBalance
10.25 0.64 0.69 Female NewBalance
14.28 1.42 0.27 Male NewBalance
14.62 0.62 0.58 Male Nike
12.92 1.16 0.44 Female NewBalance
12.62 1.48 0.31 Female Nike
8.11 0.9 0.49 Female NewBalance
10.08 1.58 0.43 Male Nike
11.35 0.85 0.46 Female Nike
15.24 0.63 0.35 Female NewBalance
11.33 0.55 0.37 Female Nike
12.07 1.21 0.35 Female NewBalance
20.53 1.14 0.38 Male NewBalance
12.88 1.12 0.49 Female NewBalance
10.58 1.31 0.39 Female Nike
11.66 0.94 0.54 Male Nike
13.98 1.09 0.46 Male NewBalance
9.67 1.56 0.51 Female NewBalance
13.39 0.89 0.33 Male Nike
10.76 0.61 0.53 Male NewBalance
12.57 0.7 0.33 Male Nike
7.25 0.63 0.65 Female Nike
13.16 1.45 0.46 Male NewBalance
14.21 1.06 0.41 Male NewBalance
11.1 1.09 0.44 Male NewBalance
13.95 1.17 0.41 Female Nike
9.45 0.69 0.57 Female NewBalance
10.58 0.88 0.45 Female Nike
11.69 0.74 0.46 Male NewBalance
11.97 0.89 0.39 Female NewBalance
14.14 0.94 0.33 Female Nike
12.69 1.04 0.38 Female Nike
9.99 0.67 0.3 Female Nike
10.45 1.01 0.34 Male NewBalance
9.45 0.87 0.56 Female NewBalance
9.3 1.22 0.54 Male NewBalance
11.71 0.84 0.46 Male Nike
10.84 1.46 0.23 Male Nike
11.41 0.87 0.57 Male Nike
9.33 1.32 0.45 Male NewBalance
14.36 1.34 0.36 Male NewBalance
10.76 0.5 0.42 Female NewBalance
9.82 0.91 0.47 Male NewBalance
10.3 0.6 0.49 Female Nike
10.26 1.12 0.56 Female Nike
7.93 0.37 0.56 Female Nike
11.7 0.99 0.46 Female Nike
10.06 0.47 0.41 Male Nike
12.47 0.81 0.38 Female Nike
12.75 0.87 0.43 Male Nike
13.84 1.31 0.42 Female Nike
10.49 1.5 0.3 Female NewBalance
15 1.37 0.38 Male Nike
14.75 0.83 0.35 Female NewBalance
15.25 0.82 0.38 Male Nike
12.98 1.18 0.34 Male Nike
10.27 1.51 0.39 Male NewBalance
13.01 1.81 0.34 Female Nike
7.69 0.79 0.48 Male NewBalance
9.27 0.42 0.51 Male Nike
8.4 1 0.36 Female Nike
13.9 0.82 0.33 Male Nike
11.22 0.52 0.47 Female Nike
13.1 0.99 0.41 Male Nike
13.23 0.89 0.34 Male Nike
10.37 0.87 0.59 Male Nike
19 1.69 0.31 Male Nike
8.73 0.88 0.51 Male Nike
7.76 1.11 0.4 Female NewBalance
8.82 0.63 0.41 Female NewBalance
8.99 0.8 0.37 Female NewBalance
13.64 1.46 0.33 Female Nike
15.7 1.13 0.31 Male Nike
12.24 0.85 0.48 Male Nike
11.08 1.01 0.32 Female NewBalance
11.36 0.8 0.41 Male Nike
10.51 0.54 0.5 Female NewBalance
9.51 0.7 0.54 Female Nike
8.36 0.86 0.65 Male NewBalance
12.03 0.95 0.31 Male Nike
10.3 0.66 0.6 Male Nike
10.7 0.7 0.41 Male NewBalance
9.61 1.16 0.49 Female NewBalance
11.27 0.51 0.53 Male Nike
11.9 1 0.34 Male NewBalance
10.26 0.92 0.37 Male NewBalance
10.41 0.71 0.41 Female Nike
11.72 1.92 0.37 Male NewBalance
13.27 1.18 0.28 Male Nike
13.06 0.85 0.36 Female NewBalance
10.93 0.85 0.36 Male Nike
10.8 0.92 0.43 Male NewBalance
12.81 0.98 0.47 Female NewBalance
13.34 1.87 0.31 Male NewBalance
14.45 0.97 0.48 Female Nike
13.42 1.49 0.42 Male NewBalance
11.56 0.98 0.41 Male NewBalance
10.37 0.56 0.43 Male Nike
12.74 1.16 0.48 Male NewBalance
7.59 1.88 0.41 Female Nike
11.78 0.88 0.37 Male NewBalance
10.16 0.47 0.57 Female Nike
11.96 0.82 0.49 Female NewBalance
12.87 0.62 0.29 Male Nike
12.95 0.9 0.36 Female Nike
13.73 0.47 0.34 Female Nike
11.4 1.22 0.33 Male Nike
9.64 0.68 0.48 Male Nike
14.53 1.45 0.48 Female NewBalance
10.86 0.77 0.51 Male Nike
10.58 1.11 0.34 Female NewBalance
10.31 1.73 0.25 Female Nike
15.11 1.23 0.25 Female Nike
6.69 1.17 0.46 Female Nike
10.89 0.72 0.27 Male NewBalance
10.95 0.78 0.35 Female Nike
9.41 0.86 0.44 Female NewBalance
11.54 0.94 0.43 Female Nike
12.86 1.14 0.33 Female NewBalance
10.03 0.87 0.35 Female NewBalance
10.35 1.05 0.48 Female Nike
8.03 0.81 0.51 Male Nike
11.55 0.56 0.5 Male Nike
15.05 0.83 0.37 Female Nike
10.3 0.85 0.57 Male NewBalance
16.44 1.05 0.41 Male Nike
18.48 0.76 0.34 Male NewBalance
9.92 1.01 0.53 Male Nike
13.98 0.89 0.5 Male Nike
14.49 1.24 0.39 Female Nike
12.71 1.23 0.46 Female Nike
12.98 1.41 0.46 Male NewBalance
11.7 0.98 0.33 Male NewBalance
12.18 1.1 0.23 Female Nike
10.15 0.79 0.29 Male NewBalance
13.93 1.24 0.34 Male NewBalance
16.4 1.17 0.3 Male NewBalance
9.76 0.95 0.39 Female Nike
9.89 1.36 0.48 Male Nike
10.73 1.19 0.4 Male NewBalance
15.53 1.02 0.36 Male Nike
11.14 1.31 0.46 Female NewBalance
9.58 1.17 0.36 Male Nike
14.55 1.25 0.28 Male Nike
11.01 1.37 0.32 Female NewBalance
11.27 0.76 0.36 Female NewBalance
12.73 0.8 0.4 Male Nike
15.28 1.13 0.39 Female Nike
10.06 0.46 0.49 Female Nike
17.72 0.82 0.28 Female NewBalance
9.27 1.28 0.38 Male Nike
9.35 0.68 0.5 Male Nike
8.57 0.96 0.45 Male Nike
11.23 0.66 0.37 Female Nike
15.04 2.13 0.25 Male Nike
10.1 0.89 0.48 Female NewBalance
14.93 0.86 0.41 Male Nike
8.22 0.96 0.57 Female Nike
10.02 1.23 0.34 Male Nike
10.71 1.22 0.5 Male NewBalance
12.25 0.56 0.38 Female Nike
9.25 0.78 0.53 Female NewBalance
12.16 0.92 0.43 Female NewBalance
11.38 1.1 0.43 Male Nike
8.39 0.56 0.58 Female Nike
11.66 0.79 0.35 Male Nike
9.27 0.73 0.58 Female NewBalance
8.99 1.37 0.6 Female NewBalance
10.32 1.62 0.21 Female NewBalance
10.75 1.61 0.52 Female Nike
14.25 0.8 0.43 Male NewBalance
13.02 0.69 0.4 Female NewBalance
11.74 1.25 0.38 Male Nike
9.51 1.77 0.26 Male NewBalance
15.81 0.93 0.21 Female Nike
12.1 1 0.34 Male Nike
11.53 0.68 0.29 Male Nike
10.93 0.92 0.4 Female NewBalance
9.06 0.82 0.44 Male Nike
18.29 1.34 0.41 Male NewBalance
10.56 0.99 0.3 Female Nike
11.86 0.76 0.57 Male Nike
8.91 0.71 0.39 Male Nike
16.04 1.23 0.38 Male Nike
9.57 1.57 0.39 Female NewBalance
11.94 0.74 0.41 Male Nike
13.27 0.93 0.53 Female Nike
12 0.91 0.43 Male NewBalance
15.4 1.66 0.35 Male Nike
11.68 0.8 0.4 Female NewBalance
7.2 0.94 0.49 Female NewBalance
9.32 1.24 0.58 Female Nike
8 0.49 0.67 Female NewBalance
10.54 0.7 0.4 Male Nike
10.57 0.88 0.5 Female NewBalance
12.38 0.76 0.43 Male Nike
13.15 1.06 0.47 Female NewBalance
